year,month,data_mean_global,data_mean_nh,value
1953,7,312.68650022102,311.861154144187,313.511846297852
1953,8,311.212225512418,308.997259408978,313.427191615858
1953,9,311.290054795645,309.294764964889,313.28534462640204
1953,10,312.46737280077997,311.643584389942,313.291161211619
1953,11,313.586891117456,313.747792447696,313.42598978721696
1953,12,314.295649600835,315.126878582293,313.46442061937597
1954,1,314.806147622018,316.016730951875,313.595564292162
1954,2,315.188205445385,316.67879025739,313.69762063338
1954,3,315.505285479624,317.28277843192103,313.727792527326
1954,4,315.70967783209,317.733406373507,313.68594929067297
1954,5,315.559811801421,317.427397212461,313.692226390382
1954,6,314.700848088184,315.611049426402,313.790646749966
1954,7,313.052109967841,312.235712167299,313.868507768382
1954,8,311.573759600076,309.369623333728,313.777895866424
1954,9,311.647458843952,309.664803410688,313.630114277217
1954,10,312.820418383403,312.010972842319,313.629863924487
1954,11,313.935635746118,314.112527728869,313.758743763366
1954,12,314.640266945039,315.48938847503103,313.791145415046
1955,1,315.143206782755,316.370794230724,313.915619334786
1955,2,315.521971917976,317.031667982629,314.01227585332197
1955,3,315.836311014772,317.63552394235097,314.037098087192
1955,4,316.038226161585,318.08711511566503,313.98933720750597
1955,5,315.88729857097803,317.785151834952,313.989445307004
1955,6,315.02809763204397,315.97512559663,314.081069667459
1955,7,313.376296256235,312.599608734284,314.152983778186
1955,8,311.891679998285,309.724885538134,314.058474458437
1955,9,311.95943804175704,310.011423331817,313.907452751697
1955,10,313.12598304269903,312.348062080324,313.903904005075
1955,11,314.235501445932,314.440539708757,314.030463183106
1955,12,314.93560479966,315.810591977227,314.060617622093
1956,1,315.432471514668,316.6828881972,314.182054832136
1956,2,315.809090672187,317.34066209021097,314.277519254163
1956,3,316.12232064459204,317.943197070365,314.30144421881903
1956,4,316.32373435264,318.395305349708,314.252163355572
1956,5,316.17461401062803,318.09863394864396,314.250594072613
1956,6,315.318651163113,316.29747746732005,314.33982485890596
1956,7,313.666115435577,312.923487610175,314.408743260979
1956,8,312.176235103631,310.04005844308,314.312411764182
1956,9,312.239432215897,310.318101360196,314.160763071598
1956,10,313.400958855638,312.64517377917196,314.156743932105
1956,11,314.506780294687,314.729018656673,314.2845419327
1956,12,315.205201977356,316.094077303376,314.316326651336
1957,1,315.709759456745,316.979579008734,314.439939904756
1957,2,316.087150351073,317.637162922978,314.537137779167
1957,3,316.40159497073995,318.23979448520197,314.563395456277
1957,4,316.604809417099,318.69232618454,314.51729264965803
1957,5,316.457770244757,318.39583901472,314.519701474795
1957,6,315.60440671794,316.594932521794,314.61388091408696
1957,7,313.956179715776,313.224064365775,314.688295065778
1957,8,312.47246403978403,310.347266704886,314.597661374682
1957,9,312.542453589336,310.632672587279,314.45223459139197
1957,10,313.711456532331,312.967921216059,314.45499184860404
1957,11,314.824874670872,315.06014441541697,314.589604926327
1957,12,315.530678581406,316.433024759734,314.628332403078
1958,1,316.043294044269,317.327466509227,314.759121579311
1958,2,316.42701194772303,317.99141140791,314.862612487537
1958,3,316.747002490477,318.599365467837,314.894639513117
1958,4,316.9549384559,319.055968448585,314.853908463214
1958,5,316.81101414818403,318.761090447435,314.860937848934
1958,6,315.95927115466,316.959554009091,314.958988300229
1958,7,314.31285249888305,313.589807795161,315.03589720260396
1958,8,312.831195319745,310.716755574381,314.945635065109
1958,9,312.9020758418,311.004910058735,314.799241624865
1958,10,314.07187537787996,313.343025907897,314.800724847863
1958,11,315.186051649009,315.438212397102,314.933890900917
1958,12,315.893007501196,316.813886549398,314.972128452993
1959,1,316.403590207195,317.703387304807,315.103793109582
1959,2,316.79206747806097,318.372860176946,315.211274779177
1959,3,317.119990124854,318.98975685396,315.250223395747
1959,4,317.339540792271,319.459386170958,315.21969541358396
1959,5,317.212118099786,319.183225385093,315.241010814479
1959,6,316.382127223459,317.406356616131,315.35789783078604
1959,7,314.761599445993,314.063974560658,315.459224331328
1959,8,313.310336226125,311.22058674659803,315.40008570565203
